bo-acc,bo-donor,q-acc,q-donor,q-hatom,dist-dh,dist-ah,HB-type
0.0988,0.9269,-0.137149,0.28801,0.122035,1.03861342475645,2.26138657409575,strong
0.085,0.9311,-0.142583,0.289538,0.125879,1.03673677740368,2.36326322499065,strong
0.0728,0.9346,-0.14725,0.290708,0.129491,1.03525045582371,2.4647495521459,strong
0.2549,1.1085,0.167554,-0.178104,-0.030259,0.96529272039882,2.0347072786613,weak
0.2217,1.1123,0.149812,-0.175289,-0.015285,0.96696489068667,2.13303511232821,weak
0.1931,1.1166,0.13488,-0.172227,-0.003094,0.96775046110547,2.23224953993333,weak
0.1683,1.1208,0.122209,-0.169379,0.007214,0.96819455311286,2.33180544613616,weak
0.1466,1.1248,0.111319,-0.166739,0.016079,0.96832632821875,2.43167367451697,weak
0.1279,1.1285,0.102183,-0.164413,0.023789,0.96811992451048,2.53188007637297,weak
0.1109,1.1319,0.093879,-0.162267,0.030583,0.9679105954082,2.63208940365928,weak
0.0959,1.135,0.086684,-0.160355,0.036581,0.9676175357462,2.73238246682467,weak
0.0828,1.1376,0.080584,-0.158799,0.041997,0.96724055477116,2.83275944597275,weak
0.1593,1.0983,-0.149493,-0.183198,0.02599,0.9671324154988,1.7328675836704,strong
0.1313,1.104,-0.156099,-0.181082,0.035553,0.96789159807292,1.83210839941128,strong
0.1093,1.1096,-0.160593,-0.178694,0.042194,0.96794494856089,1.93205505012355,strong
0.0918,1.1144,-0.163583,-0.176634,0.04726,0.96787021423856,2.03212978290308,strong
0.0773,1.1186,-0.165807,-0.174755,0.051316,0.96764285207338,2.13235714880732,strong
0.0653,1.1221,-0.16744,-0.17316,0.05476,0.96740484573361,2.23259515544292,strong
0.0551,1.1251,-0.168806,-0.17166,0.057671,0.96702667721933,2.33297332244932,strong
0.0463,1.1276,-0.169929,-0.170318,0.06018,0.96657610467469,2.43342389882363,weak
0.0388,1.1298,-0.170896,-0.169209,0.0624,0.96621868127212,2.53378132010886,weak
0.1858,1.0221,-0.18553,-0.035858,-0.02487,1.35338120215874,1.64661879708809,weak
0.1487,1.0348,-0.193652,-0.023278,-0.020564,1.35351620810637,1.74648379430463,weak
0.121,1.0455,-0.198505,-0.012708,-0.018859,1.35335607764967,1.84664392294654,weak
0.0999,1.0544,-0.201633,-0.003857,-0.018443,1.35297794723235,1.94702205154106,weak
0.0834,1.0618,-0.203848,0.003544,-0.018553,1.35244676386096,2.04755323846089,strong
0.0699,1.0679,-0.205632,0.010172,-0.018707,1.35179392406879,2.14820607984406,weak
0.0589,1.0728,-0.207006,0.015568,-0.018864,1.35115695142874,2.24884304946873,weak
0.0497,1.077,-0.208322,0.020087,-0.019039,1.35026625102852,2.34973375280862,weak
0.0418,1.0801,-0.209151,0.023839,-0.018972,1.34987464491097,2.45012535696053,weak
0.2418,1.0172,-0.087207,-0.080052,0.030418,0.99103014820136,1.70896985038836,strong
0.202,1.0299,-0.098961,-0.076709,0.042497,0.98768855163436,1.81231144571613,strong
0.1701,1.0413,-0.10724,-0.074182,0.050894,0.98445309565396,1.9155469055076,strong
0.1442,1.0508,-0.113246,-0.071641,0.057407,0.98179911906979,2.01820087955058,strong
0.1226,1.0589,-0.117872,-0.069681,0.062644,0.9794770480597,2.12052295423658,strong
0.1043,1.0658,-0.12165,-0.068061,0.067142,0.97752018728982,2.22247981345381,strong
0.0888,1.0716,-0.124897,-0.066583,0.071042,0.97578652515202,2.32421345125894,strong
0.0754,1.0765,-0.127716,-0.065261,0.074533,0.97432225187606,2.42567772356974,strong
0.0638,1.0806,-0.13015,-0.064128,0.077618,0.97303897760716,2.52696098086829,strong
0.172,0.9631,-0.086834,-0.015648,0.031943,1.00916348946123,1.69083650969202,weak
0.1412,0.9696,-0.095194,-0.01568,0.041541,1.01033097280436,1.78966902458171,strong
0.1178,0.9754,-0.100971,-0.014927,0.04796,1.01070534685104,1.88929465348031,strong
0.0994,0.9804,-0.105075,-0.014678,0.052594,1.01098297889105,1.98901702020905,strong
0.0846,0.9846,-0.108413,-0.012928,0.056222,1.01072111274175,2.08927888987764,strong
0.0721,0.9882,-0.111112,-0.012171,0.059244,1.01056138788372,2.18943861212725,strong
0.0614,0.9914,-0.113361,-0.011525,0.061828,1.01025473592889,2.28974526227383,strong
0.0514,0.9944,-0.11604,-0.010692,0.064545,1.00948973313299,2.39051026934067,strong
0.0435,0.9966,-0.117661,-0.010211,0.066618,1.00917253056157,2.4908274697011,strong
0.2288,0.9855,-0.049903,-0.154314,-0.008043,1.01378813351797,1.68621186556047,weak
0.1931,0.9922,-0.064437,-0.152634,0.00443,1.01600388786053,1.78399610950741,weak
0.1647,0.9985,-0.075279,-0.150714,0.012988,1.01722734913135,1.88277264335113,weak
0.1419,1.0042,-0.083594,-0.148967,0.01911,1.01805780150185,1.98194214026925,weak
0.123,1.0094,-0.090297,-0.147082,0.023574,1.01823779338007,2.08176217381802,strong
0.1072,1.014,-0.095911,-0.145468,0.027157,1.01836318311169,2.18163677250419,strong
0.0938,1.018,-0.10063,-0.143842,0.030043,1.01826139305163,2.28173860501497,strong
0.0821,1.0213,-0.105003,-0.142506,0.032816,1.01848650165716,2.38151346075907,strong
0.0716,1.0244,-0.109077,-0.141062,0.035213,1.0181912819618,2.48180873535213,strong
0.257,0.8652,-0.180749,0.302667,0.105207,1.08669629714475,1.61330370202024,strong
0.2101,0.882,-0.195172,0.31233,0.115885,1.0762489917844,1.72375100564931,strong
0.1756,0.8955,-0.204022,0.319988,0.12253,1.06765410652897,1.83234589435494,strong
0.1493,0.9064,-0.209733,0.325996,0.127225,1.06078845054667,1.93921154849326,strong
0.1284,0.9152,-0.213698,0.330782,0.131026,1.0552375602842,2.04476244227586,strong
0.111,0.9225,-0.216646,0.33465,0.134417,1.05066923848326,2.14933076231741,strong
0.0962,0.9284,-0.218913,0.337784,0.137609,1.04689608430344,2.25310391483491,strong
0.0832,0.9334,-0.220665,0.340347,0.140649,1.04372218395009,2.35627781858794,strong
0.0719,0.9376,-0.222155,0.3425,0.143462,1.04089644400923,2.45910355441374,strong
0.3903,0.8345,0.336579,0.241343,0.009895,1.08902848361973,1.9109715155261,strong
0.3462,0.8484,0.312064,0.249374,0.025251,1.08283028361058,2.01716971891628,strong
0.3088,0.8616,0.291443,0.256759,0.036767,1.07587014327182,2.12412985729431,strong
0.2763,0.874,0.272628,0.263365,0.045702,1.06840417294503,2.23159582590574,strong
0.2491,0.8836,0.258643,0.268571,0.054219,1.06317749962727,2.33682250292961,strong
0.2248,0.8921,0.246167,0.272852,0.061975,1.05840821830891,2.44159178226699,strong
0.2021,0.9002,0.23405,0.276604,0.069221,1.0536141494846,2.54638584915617,strong
0.1824,0.9066,0.224523,0.279657,0.07618,1.05002721953562,2.64997278277732,strong
0.164,0.9123,0.215758,0.282111,0.082889,1.04690477105966,2.75309522944558,strong
0.3434,0.8813,-0.715033,-0.021515,-0.003652,1.04265977612734,1.9599311746441,strong
0.3081,0.8898,-0.741844,-0.019701,0.007321,1.04060288427678,2.06202992390276,strong
0.2785,0.8981,-0.76501,-0.018023,0.015602,1.03791292280816,2.16475776954694,strong
0.2532,0.9059,-0.785415,-0.01657,0.022228,1.0351210882948,2.26758440915272,strong
0.2313,0.913,-0.803638,-0.015401,0.027742,1.03240265514177,2.3703350713136,strong
0.2121,0.9195,-0.820062,-0.014513,0.032445,1.02982666414279,2.47294105969295,strong
0.195,0.9254,-0.834929,-0.013947,0.036515,1.027365467095,2.57543024974149,strong
0.1798,0.9307,-0.848513,-0.013559,0.040137,1.02520076896591,2.6776213631374,strong
0.1659,0.9354,-0.861006,-0.013346,0.043398,1.02324154072949,2.77960551606189,strong
0.1832,0.9464,-0.067058,-0.030119,0.03003,1.00552655424974,1.69447344489922,strong
